timeStep,mov,idle,send,recieve
0,100.0,0.0,0.0,0.0
timeStep,mov,idle,send,recieve
0,100.0,0.0,0.0,0.0
1,100.0,0.0,0.0,0.0
2,100.0,0.0,0.0,0.0
3,100.0,0.0,0.0,0.0
4,100.0,0.0,0.0,0.0
5,100.0,0.0,0.0,0.0
6,100.0,0.0,0.0,0.0
7,100.0,0.0,0.0,0.0
8,100.0,0.0,0.0,0.0
9,100.0,0.0,0.0,0.0
10,100.0,0.0,0.0,0.0
11,100.0,0.0,0.0,0.0
12,100.0,0.0,0.0,0.0
13,100.0,0.0,0.0,0.0
14,100.0,0.0,0.0,0.0
15,100.0,0.0,0.0,0.0
16,100.0,0.0,0.0,0.0
17,100.0,0.0,0.0,0.0
18,100.0,0.0,0.0,0.0
19,99.94438264738599,0.05561735261401557,0.0,0.0
20,99.94703389830507,0.05296610169491527,0.0,0.0
21,99.89878542510121,0.10121457489878542,0.0,0.0
22,99.90319457889642,0.09680542110358178,0.0,0.0
23,99.86072423398329,0.13927576601671302,0.0,0.0
24,99.8663101604278,0.1336898395721925,0.0,0.0
25,99.87146529562982,0.12853470437018003,0.0,0.0
26,99.87623762376236,0.12376237623762383,0.0,0.0
27,99.88066825775655,0.11933174224343669,0.0,0.0
28,99.84627209838585,0.153727901614143,0.0,0.0
29,99.85141158989597,0.14858841010401191,0.0,0.0
30,99.85621854780734,0.14378145219266725,0.0,0.0
31,99.82578397212544,0.17421602787456467,0.0,0.0
32,99.79716024340772,0.20283975659229234,0.0,0.0
33,99.80314960629921,0.1968503937007875,0.0,0.0
34,99.80879541108987,0.19120458891013392,0.0,0.0
35,99.81412639405204,0.18587360594795552,0.0,0.0
36,99.78890229191796,0.21109770808202677,0.0,0.0
37,99.79448032883147,0.20551967116852637,0.0,0.0
38,99.79977116704805,0.20022883295194513,0.0,0.0
39,99.80479643056329,0.19520356943669834,0.0,0.0
40,99.78225367446926,0.21774632553075687,0.0,0.0
41,99.78746014877788,0.21253985122210434,0.0,0.0
42,99.79242345614946,0.20757654385054514,0.0,0.0
43,99.79716024340773,0.20283975659229242,0.0,0.0
44,99.80168567178977,0.1983143282102133,0.0,0.0
45,99.80601357904949,0.1939864209505337,0.0,0.0
46,99.78632478632478,0.21367521367521386,0.0,0.0
47,99.79079497907951,0.2092050209205023,0.0,0.0
48,99.7722095671982,0.22779043280182265,0.0,0.0
49,99.77678571428574,0.22321428571428586,0.0,0.0
50,99.75919439579684,0.24080560420315267,0.0,0.0
51,99.76384714469728,0.23615285530270524,0.0,0.0
52,99.74715549936789,0.25284450063211145,0.0,0.0
53,99.75186104218363,0.24813895781637751,0.0,0.0
54,99.71556277935798,0.28443722064201554,0.0,0.0
55,99.7005988023952,0.29940119760479084,0.0,0.0
56,99.68615143193409,0.31384856806590844,0.0,0.0
57,99.65277777777779,0.34722222222222243,0.0,0.0
58,99.65870307167236,0.34129692832764547,0.0,0.0
59,99.64565460649014,0.35434539350988453,0.0,0.0
60,99.65150403521645,0.3484959647835661,0.0,0.0
61,99.63898916967509,0.36101083032491005,0.0,0.0
62,99.64476021314387,0.35523978685612806,0.0,0.0
63,99.6327387198321,0.36726128016789134,0.0,0.0
64,99.6384297520661,0.3615702479338846,0.0,0.0
65,99.6268656716418,0.3731343283582094,0.0,0.0
66,99.5987963891675,0.40120361083249784,0.0,0.0
67,99.58813838550246,0.41186161449752945,0.0,0.0
68,99.56140350877192,0.43859649122807065,0.0,0.0
69,99.53540531880807,0.464594681191926,0.0,0.0
70,99.52606635071089,0.47393364928910015,0.0,0.0
71,99.53271028037382,0.4672897196261686,0.0,0.0
72,99.5236631837738,0.4763368162261839,0.0,0.0
73,99.53016065474385,0.46983934525613874,0.0,0.0
74,99.52138797487287,0.4786120251271314,0.0,0.0
75,99.51284322409212,0.48715677590788364,0.0,0.0
76,99.50451763334306,0.4954823666569516,0.0,0.0
77,99.48186528497406,0.5181347150259067,0.0,0.0
78,99.47413303013076,0.5258669698692444,0.0,0.0
79,99.46659180235822,0.5334081976417743,0.0,0.0
80,99.47324646520654,0.526753534793457,0.0,0.0
81,99.47973713033954,0.5202628696604601,0.0,0.0
82,99.48606978631322,0.5139302136867729,0.0,0.0
83,99.49225013361837,0.5077498663816143,0.0,0.0
84,99.48494453248811,0.5150554675118858,0.0,0.0
85,99.47780678851174,0.5221932114882505,0.0,0.0
86,99.48387096774194,0.5161290322580645,0.0,0.0
87,99.46401225114855,0.5359877488514547,0.0,0.0
88,99.47009841029524,0.5299015897047693,0.0,0.0
89,99.4760479041916,0.523952095808383,0.0,0.0
90,99.44444444444444,0.555555555555555,0.0,0.0
91,99.45054945054943,0.5494505494505492,0.0,0.0
92,99.44431021985987,0.5556897801401303,0.0,0.0
93,99.438202247191,0.5617977528089884,0.0,0.0
94,99.43222143364088,0.5677785663591198,0.0,0.0
95,99.43820224719101,0.5617977528089884,0.0,0.0
96,99.43234476367007,0.5676552363299343,0.0,0.0
97,99.42660550458717,0.5733944954128436,0.0,0.0
98,99.40949352714057,0.5905064728594135,0.0,0.0
99,99.38132733408324,0.6186726659167601,0.0,0.0
100,99.37625306304302,0.6237469369570056,0.0,0.0
101,99.33774834437088,0.6622516556291383,0.0,0.0
102,99.32210802536629,0.6778919746337186,0.0,0.0
103,99.31773879142298,0.6822612085769973,0.0,0.0
104,99.30257510729615,0.6974248927038621,0.0,0.0
105,99.25531914893615,0.7446808510638288,0.0,0.0
106,99.23028258118936,0.769717418810627,0.0,0.0
107,99.23751827867139,0.7624817213285968,0.0,0.0
108,99.23411302007865,0.76588697992134,0.0,0.0
109,99.24118129614438,0.7588187038556183,0.0,0.0
110,99.23780487804879,0.7621951219512184,0.0,0.0
111,99.2344883158743,0.7655116841257038,0.0,0.0
112,99.23123003194887,0.7687699680511166,0.0,0.0
113,99.22802850356295,0.7719714964370532,0.0,0.0
114,99.20494699646643,0.795053003533568,0.0,0.0
115,99.20202413390425,0.7979758660957561,0.0,0.0
116,99.20895234420222,0.7910476557977993,0.0,0.0
117,99.2060455328104,0.7939544671895908,0.0,0.0
118,99.19354838709677,0.8064516129032244,0.0,0.0
119,99.17168674698796,0.8283132530120468,0.0,0.0
120,99.15966386554621,0.8403361344537801,0.0,0.0
121,99.16666666666667,0.8333333333333316,0.0,0.0
122,99.17355371900827,0.8264462809917335,0.0,0.0
